gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
682599312	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:10472	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Reinheim	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.34164	9.35702	0.0	0.0			2008-08-12T00:00Z	12	8	2008	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	10472					Øystein Folden			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682599549	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:10479	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Stroplsjødalen	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.32281	9.47278	0.0	0.0			2008-08-12T00:00Z	12	8	2008	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	10479					Øystein Folden			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682611294	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:24434	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	GRISUNGDALEN	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.23277	9.41534	0.0	0.0			2010-05-05T00:00Z	5	5	2010	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	24434					Trond Toldnes			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682613925	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:28508	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Høgsnyta	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.31733	9.5914	0.0	0.0			2010-04-28T00:00Z	28	4	2010	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	28508					Tord Bretten, Ingolf Røtvei, Oppdal Bygdealmenning			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682614144	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:28766	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Nystuggudalen	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.33923	9.6023	0.0	0.0			2010-04-18T00:00Z	18	4	2010	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	28766					Oppdal Bygdealmenning			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682614197	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:28780	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Grønnbakken	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.28129	9.59077	0.0	0.0			2010-11-23T00:00Z	23	11	2010	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	28780					Ingolf Røtvei, Oppdal Bygdealmenning			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682614359	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:28878	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Nerhjellen	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.49678	9.0808	0.0	0.0			2010-12-04T00:00Z	4	12	2010	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	28878					Tord Bretten			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682615417	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:30494	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	svartberget	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.22015	9.33251	0.0	0.0			2010-04-12T00:00Z	12	4	2010	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	30494					Trond Toldnes			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682616446	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:30529	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	høgsnyta	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.31429	9.58978	0.0	0.0			2011-01-03T00:00Z	3	1	2011	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	30529					Trond Toldnes			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
682618822	b124e1e0-4755-430f-9eab-894f25a9b59c	NZF:SO-Vertebr:33843	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Ovibos	Ovibos moschatus		SPECIES	Ovibos moschatus (Zimmermann, 1780)	NO	Kvernhushaugen vest	d3978a37-635a-4ae3-bb85-7b4d41bc0b88	62.28308	9.59501	0.0	0.0			2011-06-01T00:00Z	1	6	2011	2441108	2441108	HUMAN_OBSERVATION	NZF	SO-Vertebr	33843					Bjørn Rangbru			2015-06-05T21:36Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
