"wijk";"year_1999";"year_2000";"year_2001";"year_2002";"year_2003";"year_2004";"year_2005";"year_2006";"year_2007";"year_2008";"year_2009"
"Binnenstad";"-84";"24";"226";"119";"229";"314";"84";"47";"83";"120";"40"
"Bloemekenswijk";"17";"146";"53";"210";"-5";"15";"-2";"22";"-58";"79";"-34"
"Brugse Poort - Rooigem";"-235";"-129";"82";"-23";"-48";"-168";"84";"71";"81";"103";"101"
"Dampoort";"128";"-69";"-58";"-48";"107";"-184";"87";"29";"158";"-66";"96"
"Drongen";"-83";"134";"27";"7";"-11";"-73";"54";"20";"-79";"13";"34"
"Elisabethbegijnhof - Papegaai";"95";"-36";"146";"99";"132";"81";"-113";"-43";"17";"-97";"119"
"Gentbrugge";"-10";"7";"19";"112";"-21";"-10";"-52";"17";"50";"-77";"9"
"Kanaaldorpen en -zone";"-11";"-28";"-22";"-7";"19";"38";"-40";"16";"-35";"-9";"0"
"Ledeberg";"127";"34";"-36";"119";"35";"34";"115";"-26";"29";"80";"95"
"Macharius - Heirnis";"71";"-40";"100";"81";"73";"63";"-7";"35";"84";"-35";"-24"
"Mariakerke";"29";"2";"-109";"-94";"39";"126";"107";"209";"12";"-79";"186"
"Moscou - Vogelhoek";"-49";"-44";"8";"-25";"-37";"-21";"5";"-3";"-77";"31";"-8"
"Muide - Meulestede - Afrikalaan";"-161";"-62";"32";"72";"-105";"49";"15";"-29";"11";"-69";"19"
"Nieuw Gent - UZ";"25";"128";"95";"220";"26";"-157";"-179";"-94";"-11";"-42";"-45"
"Oostakker";"158";"128";"152";"97";"156";"109";"114";"148";"65";"137";"158"
"Oud Gentbrugge";"33";"0";"-116";"-33";"0";"28";"-54";"97";"70";"107";"80"
"Rabot - Blaisantvest";"77";"-157";"-64";"29";"-9";"-80";"-33";"-199";"116";"-28";"-37"
"Sint Amandsberg";"272";"251";"74";"121";"161";"188";"-21";"200";"41";"56";"110"
"Sint Denijs Westrem";"5";"-14";"7";"-31";"-12";"25";"-34";"14";"34";"54";"59"
"Sluizeken - Tolhuis - Ham";"85";"58";"67";"19";"-94";"83";"83";"21";"200";"89";"191"
"Stationsbuurt Noord";"-234";"-158";"97";"-68";"37";"-50";"132";"-27";"-79";"-82";"-69"
"Stationsbuurt Zuid";"-39";"29";"-67";"1";"-32";"93";"9";"-91";"-21";"-60";"52"
"Watersportbaan - Ekkergem";"108";"127";"64";"48";"85";"84";"-57";"124";"137";"-15";"47"
"Wondelgem";"-25";"51";"-95";"-48";"53";"88";"114";"-37";"133";"135";"124"
"Zwijnaarde";"-20";"-23";"-23";"-32";"-54";"-34";"81";"49";"-73";"98";"72"
