"﻿wijk";"year_1999";"year_2000";"year_2001";"year_2002";"year_2003";"year_2004";"year_2005";"year_2006";"year_2007";"year_2008";"year_2009";"year_2010"
"Binnenstad";"5710";"5719";"5824";"5890";"6008";"6112";"6177";"6230";"6264";"6430";"6486";"6572"
"Bloemekenswijk";"4637";"4710";"4764";"4925";"4946";"5015";"5064";"5114";"5112";"5244";"5268";"5306"
"Brugse Poort - Rooigem";"5905";"5855";"5950";"6018";"6021";"6055";"6193";"6330";"6441";"6586";"6750";"6952"
"Dampoort";"6521";"6520";"6531";"6751";"6889";"6839";"7389";"7498";"7774";"7834";"8004";"8259"
"Drongen";"497";"504";"503";"504";"504";"503";"505";"506";"504";"504";"506";"505"
"Elisabethbegijnhof - Papegaai";"6468";"6469";"6689";"6813";"7008";"7151";"7056";"7106";"7183";"7198";"7398";"7518"
"Gentbrugge";"1524";"1526";"1510";"1536";"1533";"1539";"1549";"1550";"1564";"1556";"1563";"1569"
"Kanaaldorpen en -zone";"88";"87";"87";"81";"82";"83";"58";"59";"59";"59";"59";"59"
"Ledeberg";"5345";"5336";"5273";"5397";"5485";"5512";"5608";"5626";"5713";"5847";"5981";"6135"
"Macharius - Heirnis";"7279";"7267";"7486";"7727";"7896";"8121";"8250";"8482";"8689";"8896";"8984";"9101"
"Mariakerke";"1531";"1532";"1520";"1507";"1506";"1524";"1545";"1568";"1572";"1570";"1592";"1604"
"Moscou - Vogelhoek";"3544";"3508";"3535";"3529";"3460";"3468";"3556";"3561";"3525";"3571";"3612";"3647"
"Muide - Meulestede - Afrikalaan";"3223";"3190";"3228";"3301";"3262";"3353";"3607";"3681";"3748";"3798";"3880";"3984"
"Nieuw Gent - UZ";"1779";"1827";"1859";"1919";"1949";"1916";"1857";"1880";"1902";"1924";"1931";"1959"
"Oostakker";"1064";"1075";"1094";"1100";"1114";"1127";"1149";"1160";"1169";"1181";"1203";"1220"
"Oud Gentbrugge";"5228";"5244";"5173";"5238";"5244";"5269";"5209";"5338";"5413";"5559";"5674";"5795"
"Rabot - Blaisantvest";"8475";"8282";"8315";"8487";"8561";"8605";"8765";"8720";"8989";"9225";"9372";"9591"
"Sint Amandsberg";"2507";"2547";"2554";"2591";"2613";"2650";"2670";"2702";"2716";"2734";"2767";"2784"
"Sint Denijs Westrem";"713";"710";"707";"702";"699";"701";"692";"693";"692";"697";"699";"704"
"Sluizeken - Tolhuis - Ham";"7351";"7371";"7513";"7594";"7535";"7633";"7788";"7922";"8079";"8294";"8535";"8749"
"Stationsbuurt Noord";"4966";"4907";"4935";"4951";"4958";"4962";"5071";"5090";"5064";"5076";"5072";"5095"
"Stationsbuurt Zuid";"2785";"2788";"2773";"2786";"2755";"2794";"2843";"2811";"2812";"2813";"2857";"2903"
"Watersportbaan - Ekkergem";"1889";"1903";"1898";"1900";"1898";"1900";"1879";"1905";"1937";"1943";"1949";"1974"
"Wondelgem";"1441";"1445";"1438";"1434";"1436";"1451";"1464";"1457";"1470";"1486";"1501";"1531"
"Zwijnaarde";"569";"568";"567";"569";"565";"562";"568";"570";"555";"572";"580";"583"
