"dag";"tijdstip";"noord";"zuid";"actief"
"25.05.11";"11:34:07";"8";"2";""
"25.05.11";"11:45:20";"8";"2";"OFF"
"25.05.11";"18:22:20";"8";"2";"OFF"
"09.06.11";"14:01:30";"8";"2";"OFF"
"10.06.11";" 9:55:34";"8";"2";"OFF"
"10.06.11";" 9:58:40";"8";"2";"OFF"
"17.06.11";"15:53:27";"10";"4";""
"17.06.11";"16:08:27";"13";"3";""
"17.06.11";"16:23:27";"23";"11";""
"17.06.11";"16:31:30";"23";"11";"OFF"
"04.07.11";"10:12:41";"35";"9";""
"04.07.11";"10:27:41";"3";"10";""
"04.07.11";"10:42:42";"7";"13";""
"04.07.11";"10:57:42";"2";"16";""
"04.07.11";"11:12:42";"4";"16";""
"04.07.11";"11:27:42";"6";"12";""
"04.07.11";"11:42:42";"8";"9";""
"04.07.11";"11:57:42";"6";"7";""
"04.07.11";"12:12:42";"9";"12";""
"04.07.11";"12:27:44";"9";"5";""
"04.07.11";"12:42:46";"16";"11";""
"04.07.11";"12:57:48";"7";"6";""
"04.07.11";"13:12:49";"9";"6";""
"04.07.11";"13:27:52";"10";"11";""
"04.07.11";"13:42:59";"9";"19";""
"04.07.11";"13:58:06";"17";"12";""
"04.07.11";"14:03:30";"17";"12";"OFF"
"04.07.11";"14:14:20";"17";"12";"OFF"
"05.07.11";"14:00:45";"10";"14";""
"05.07.11";"14:15:45";"17";"17";""
"05.07.11";"14:30:45";"8";"18";""
"05.07.11";"14:45:49";"10";"10";""
"05.07.11";"15:00:53";"16";"32";""
"05.07.11";"15:11:40";"16";"32";"OFF"
"05.07.11";"15:15:50";"16";"32";"OFF"
"14.07.11";"18:18:17";"14";"13";""
"14.07.11";"18:33:17";"6";"8";""
"14.07.11";"18:48:17";"3";"1";""
"14.07.11";"19:03:17";"6";"10";""
"14.07.11";"19:18:17";"5";"9";""
"14.07.11";"19:33:17";"7";"3";""
"14.07.11";"19:48:17";"2";"2";""
"14.07.11";"20:03:17";"1";"3";""
"14.07.11";"20:18:17";"7";"9";""
"14.07.11";"20:33:17";"1";"4";""
"14.07.11";"20:48:17";"5";"2";""
"14.07.11";"21:03:17";"2";"4";""
"14.07.11";"21:18:17";"2";"1";""
"14.07.11";"21:33:17";"2";"1";""
"14.07.11";"21:48:17";"1";"2";""
"14.07.11";"22:03:17";"5";"3";""
"14.07.11";"22:18:17";"7";"0";""
"14.07.11";"22:33:17";"3";"7";""
"14.07.11";"22:48:17";"8";"0";""
"14.07.11";"23:03:17";"3";"2";""
"14.07.11";"23:18:17";"3";"3";""
"14.07.11";"23:33:26";"3";"7";""
"14.07.11";"23:48:26";"4";"1";""
"15.07.11";" 0:03:27";"0";"1";""
"15.07.11";" 0:18:27";"1";"1";""
"15.07.11";" 0:33:29";"2";"1";""
"15.07.11";" 0:48:30";"1";"1";""
"15.07.11";" 1:03:31";"5";"1";""
"15.07.11";" 1:18:31";"7";"1";""
"15.07.11";" 1:33:31";"1";"0";""
"15.07.11";" 1:48:31";"1";"0";""
"15.07.11";" 2:03:31";"3";"1";""
"15.07.11";" 2:18:31";"1";"0";""
